id_pedido,imei,os,chave_peca,custo,venda,margem,status_label
PED20260611353972103048214272,353972103048214,29858,BATERIA IPHONE 11,596.04,1499,902.96,CONCLUÍDO
PED20260611353998106233081277,353998106233081,29936,BATERIA IPHONE 11,630.29,1499,868.71,CONCLUÍDO
PED20260611353999106632488278,353999106632488,29874,BATERIA IPHONE 11,685.1,1499,813.9,CONCLUÍDO
PED20260611354002103813539279,354002103813539,29941,BATERIA IPHONE 11,630.29,1499,868.71,CONCLUÍDO
PED20260611354005109666215280,354005109666215,29716,BATERIA IPHONE 11,385,1299,914,CONCLUÍDO
PED20260611354542505034598288,354542505034598,29379,BATERIA IPHONE 14 PRO,2160,3299,1139,CONCLUÍDO
PED20260611354790154949158290,354790154949158,29566,BATERIA IPHONE 11,725.4,1499,773.6,CONCLUÍDO
PED20260611356323451064220299,356323451064220,30627,BATERIA IPHONE 13,1445.57,2399,953.4300000000001,CONCLUÍDO
PED20260611356417993497797300,356417993497797,29591,BATERIA IPHONE 13,1267,2199,932,CONCLUÍDO
PED20260611356427676788875302,356427676788875,29095,BATERIA IPHONE 12,1080,1699,619,CONCLUÍDO
PED20260611356552104996509306,356552104996509,29841,BATERIA IPHONE 11,564.2,1499,934.8,CONCLUÍDO
PED20260611356563100146429307,356563100146429,29571,BATERIA IPHONE 11,725.4,1499,773.6,CONCLUÍDO
PED20260611356575109607169312,356575109607169,29857,BATERIA IPHONE 11,528.5,1299,770.5,CONCLUÍDO
PED20260611356577106674440313,356577106674440,29938,BATERIA IPHONE 11,604.5,1499,894.5,CONCLUÍDO
PED20260611356646229525811315,356646229525811,28430,BATERIA IPHONE 13,1632.59,2199,566.4100000000001,CONCLUÍDO
PED20260611356649150146268316,356649150146268,27993,BATERIA IPHONE 13 PRO,2020,2999,979,CONCLUÍDO
PED20260611356706920613272317,356706920613272,29646,BATERIA IPHONE 13,1588.65,2399,810.3499999999999,CONCLUÍDO
PED20260611357771775769750333,357771775769750,29913,BATERIA IPHONE 11,604.5,1499,894.5,CONCLUÍDO
PED20260611359052370369694341,359052370369694,29126,BATERIA IPHONE 13 PRO,2092.57,2999,906.4299999999998,CONCLUÍDO
PED20260611359245672210349344,359245672210349,29910,BATERIA IPHONE 11,564.2,1499,934.8,CONCLUÍDO
PED20260611359984541961860347,359984541961860,29694,BATERIA IPHONE 13 PRO MAX,1875,2999,1124,CONCLUÍDO
PED20260612353361739130135356,353361739130135,30539,BATERIA IPHONE 12,938.92,1699,760.08,CONCLUÍDO
PED20260612356094672539528358,356094672539528,30581,BATERIA IPHONE 14,1734.69,2499,764.31,CONCLUÍDO
PED20260612357522588920183361,357522588920183,30579,BATERIA IPHONE 14,1734.69,2499,764.31,CONCLUÍDO
PED20260612358021948718451362,358021948718451,30542,BATERIA IPHONE 13,1314.49,2199,884.51,CONCLUÍDO
PED20260615351843199764414373,351843199764414,29715,BATERIA IPHONE 13,1312.31,2199,886.69,CONCLUÍDO
PED20260615351974974021744378,351974974021744,29730,BATERIA IPHONE 13,1433.76,2399,965.24,CONCLUÍDO
PED20260615352014966039237379,352014966039237,28915,BATERIA IPHONE 12,882,1849,967,CONCLUÍDO
PED20260615353057114431714385,353057114431714,28913,BATERIA IPHONE 12,882,1849,967,CONCLUÍDO
PED20260615353243108897850388,353243108897850,29119,BATERIA IPHONE 11 PRO,1272.87,1469,196.1300000000001,CONCLUÍDO
PED20260615353505451727771389,353505451727771,29712,BATERIA IPHONE 11,385,1299,914,CONCLUÍDO
PED20260615353968107747777390,353968107747777,29718,BATERIA IPHONE 11,385,1299,914,CONCLUÍDO
PED20260615353998103886154391,353998103886154,29184,BATERIA IPHONE 11,711.07,1299,587.93,CONCLUÍDO
PED20260615355623122438708404,355623122438708,30650,BATERIA IPHONE 13,1217,2199,982,CONCLUÍDO
PED20260615356697116236210408,356697116236210,28902,BATERIA IPHONE 12 PRO,1599,2729,1130,CONCLUÍDO
PED20260615356729116027685409,356729116027685,28904,BATERIA IPHONE 12 PRO MAX,1679,2749,1070,CONCLUÍDO
PED20260615357474406883724411,357474406883724,28082,BATERIA IPHONE 13,1737.94,2199,461.05999999999995,CONCLUÍDO
PED20260615358298161597768419,358298161597768,30651,BATERIA IPHONE 13 PRO,1549,2799,1250,CONCLUÍDO
PED20260615359214463808976422,359214463808976,26808,BATERIA IPHONE 13,1456.72,2199,742.28,CONCLUÍDO
PED20260616353243101035433439,353243101035433,28582,BATERIA IPHONE 11 PRO,899,1999,1100,CONCLUÍDO
PED20260616353840104437126440,353840104437126,28640,BATERIA IPHONE 11 PRO,1412,2449,1037,CONCLUÍDO
PED20260616355435977624708447,355435977624708,28584,BATERIA IPHONE 11,867,1499,632,CONCLUÍDO
PED20260616356557846197779450,356557846197779,27672,BATERIA IPHONE 13,1632.32,2199,566.6800000000001,CONCLUÍDO
PED20260617350308221541322473,350308221541322,29395,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617350640542639504540,350640542639504,29795,BATERIA IPHONE 13,885.6,1699,813.4,CONCLUÍDO
PED20260617350640546244053541,350640546244053,29494,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED20260617350725919180586545,350725919180586,29340,BATERIA IPHONE 12,972,1699,727,CONCLUÍDO
PED20260617350742130863965546,350742130863965,29342,BATERIA IPHONE 12 PRO,1296,2069,773,CONCLUÍDO
PED20260617350864482574154559,350864482574154,29504,BATERIA IPHONE 11,725.4,1499,773.6,CONCLUÍDO
PED20260617351039490639120573,351039490639120,29902,BATERIA IPHONE 11,630.29,1499,868.71,CONCLUÍDO
PED20260617351039493938222574,351039493938222,29506,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617351044639223778575,351044639223778,29825,BATERIA IPHONE 13,1532.58,2399,866.4200000000001,CONCLUÍDO
PED20260617351143342588871588,351143342588871,29799,BATERIA IPHONE 12 PRO MAX,1344.8,2699,1354.2,CONCLUÍDO
PED20260617351174772269211593,351174772269211,29808,BATERIA IPHONE 11,660.92,1499,838.08,CONCLUÍDO
PED20260617351406666214964608,351406666214964,29376,BATERIA IPHONE 12 PRO MAX,1692,2999,1307,CONCLUÍDO
PED20260617351447853984092615,351447853984092,29328,BATERIA IPHONE 12,972,1699,727,CONCLUÍDO
PED20260617351467537509289616,351467537509289,29937,BATERIA IPHONE 13,1401.65,2199,797.3499999999999,CONCLUÍDO
PED20260617351672920573608638,351672920573608,29420,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED20260617352417940717994665,352417940717994,29517,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617352509584611150679,352509584611150,29397,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617352604700458253681,352604700458253,28088,BATERIA IPHONE 11,894.6,1499,604.4,CONCLUÍDO
PED20260617352672763619335682,352672763619335,28778,BATERIA IPHONE 11,590,1299,709,CONCLUÍDO
PED20260617352672766310080683,352672766310080,29500,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617352704135919083686,352704135919083,29873,BATERIA IPHONE 12,805,1849,1044,CONCLUÍDO
PED20260617352859110874149700,352859110874149,29840,BATERIA IPHONE 11 PRO MAX,967.6,1959,991.4,CONCLUÍDO
PED20260617352916113305438709,352916113305438,29509,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617352919114319648711,352919114319648,29870,BATERIA IPHONE 11,604.5,1499,894.5,CONCLUÍDO
PED20260617352923114830786716,352923114830786,29924,BATERIA IPHONE 11,630.29,1499,868.71,CONCLUÍDO
PED20260617352926116253691717,352926116253691,29416,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617353020114125132727,353020114125132,29501,BATERIA IPHONE 12 MINI,771.3,1749,977.7,CONCLUÍDO
PED20260617353031111628291728,353031111628291,29369,BATERIA IPHONE 12,972,1699,727,CONCLUÍDO
PED20260617353033114236205731,353033114236205,29562,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED20260617353034113813242734,353034113813242,29469,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED20260617353054117101287741,353054117101287,29363,BATERIA IPHONE 12,1134,2199,1065,CONCLUÍDO
PED20260617353361737779974761,353361737779974,29337,BATERIA IPHONE 12,972,1699,727,CONCLUÍDO
PED20260617353719579172311788,353719579172311,29428,BATERIA IPHONE 12,972,1699,727,CONCLUÍDO
PED20260617353779337831145798,353779337831145,30217,BATERIA IPHONE 12,247,1699,1452,CONCLUÍDO
PED20260617353900100974157801,353900100974157,29919,BATERIA IPHONE 11 PRO MAX,802.5,1769,966.5,CONCLUÍDO
PED20260617353911108636987805,353911108636987,29921,BATERIA 11 PRO MAX,944,1959,1015,CONCLUÍDO
PED20260617353913101416979808,353913101416979,29833,BATERIA IPHONE 11 PRO MAX,944,1959,1015,CONCLUÍDO
PED20260617353913108055101809,353913108055101,30276,BATERIA IPHONE 11 PRO MAX,286,1959,1673,CONCLUÍDO
PED20260617353980103297939816,353980103297939,29390,BATERIA IPHONE 11,765.7,1499,733.3,CONCLUÍDO
PED20260617353988103044599817,353988103044599,29863,BATERIA IPHONE 11,623,1699,1076,CONCLUÍDO
PED20260617353991107972674819,353991107972674,29372,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617353994102281588820,353994102281588,29513,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617354112728436309839,354112728436309,29405,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED20260617354199612809675847,354199612809675,30028,BATERIA IPHONE 13,1506.41,2199,692.5899999999999,CONCLUÍDO
PED20260617354244474323298848,354244474323298,30741,BATERIA IPHONE 12,700,1699,999,CONCLUÍDO
PED20260617354496526286713862,354496526286713,29499,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617354842975343804874,354842975343804,29908,BATERIA IPHONE 12,850.43,1849,998.57,CONCLUÍDO
PED20260617355091846285633885,355091846285633,29373,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617355169423780398896,355169423780398,29895,BATERIA IPHONE 11,630.29,1499,868.71,CONCLUÍDO
PED20260617355183480834709899,355183480834709,29848,BATERIA IPHONE 11,658.16,1699,1040.8400000000001,CONCLUÍDO
PED20260617355487730307402911,355487730307402,29496,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617355708336102693916,355708336102693,29475,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617355708336493738918,355708336493738,29183,BATERIA IPHONE 11,711.07,1299,587.93,CONCLUÍDO
PED20260617355807147130453922,355807147130453,29493,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617355900700866041925,355900700866041,29143,BATERIA IPHONE 11,761.17,1299,537.83,CONCLUÍDO
PED20260617356314149016144931,356314149016144,23971,BATERIA IPHONE 11,777,1499,722,CONCLUÍDO
PED20260617356544392942642947,356544392942642,27867,BATERIA GALAXY A54,610,1249,639,CONCLUÍDO
PED20260617356572104486541952,356572104486541,29542,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617356575101394865955,356575101394865,29514,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617356594590136158956,356594590136158,29810,BATERIA IPHONE 12,885.6,1699,813.4,CONCLUÍDO
PED20260617356594591431210957,356594591431210,29824,BATERIA IPHONE 12,885.6,1699,813.4,CONCLUÍDO
PED20260617356693114916622961,356693114916622,29515,BATERIA IPHONE 12 PRO,1296,2069,773,CONCLUÍDO
PED20260617356694115296238963,356694115296238,29912,BATERIA IPHONE 12 PRO,1224,2069,845,CONCLUÍDO
PED20260617356809117788558967,356809117788558,29866,BATERIA IPHONE 11,596.04,1499,902.96,CONCLUÍDO
PED20260617356810119497784968,356810119497784,29842,BATERIA IPHONE 11,604.5,1499,894.5,CONCLUÍDO
PED20260617356814112163203969,356814112163203,29171,BATERIA IPHONE 11,955.31,1699,743.69,CONCLUÍDO
PED20260617356864111012737970,356864111012737,29518,BATERIA IPHONE 11,679.5,1299,619.5,CONCLUÍDO
PED20260617356962144157071977,356962144157071,29495,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED20260617357078160022302983,357078160022302,29375,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
PED20260617357078161701292984,357078161701292,29331,BATERIA IPHONE 12,972,1699,727,CONCLUÍDO
PED20260617357498449719512995,357498449719512,29734,BATERIA IPHONE 15,2032.88,3799,1766.12,CONCLUÍDO
PED202606173576195313781451001,357619531378145,29380,BATERIA IPHONE 12,1035,1849,814,CONCLUÍDO
